Company,Current_Price_INR,PE_Ratio,Market_Cap_Crore,Quarterly_Profit_Growth_Percent,Quarterly_Sales_Growth_Percent,ROCE_Percent,Expected_PE_Ratio,Cap_Category,Is_profitable
KSH Internationa,844.4,51.37,5721.29,87.16,100.52,21.36,451.1647787988887,Mid Cap,True
Kshitij Polyline,4.35,18.9,67.1,144.36,46.33,8.43,1.780160419053855,Micro Cap,True
Ksolves India,285.25,20.45,676.62,40.5,25.85,127.4,203.02491103202846,Small Cap,True
KSR Footwear,31.59,0.0,58.06,210.22,9.04,-10.02,10.183095867448907,Micro Cap,False
Kuantum Papers,76.42,15.9,666.87,-45.1,8.51,5.19,139.1985428051002,Small Cap,True
Kuber Udyog,18.78,13.44,6.45,725.0,890.0,8.77,2.2763636363636364,Micro Cap,True
Kuberan Global,28.38,0.0,5.98,17.39,-100.0,-19.76,24.175824175824175,Micro Cap,False
Kumbhat Fin.,23.8,15.28,12.68,-29.88,68.0,11.73,33.94181403308614,Micro Cap,True
Kundan Edifice,74.3,9.82,76.32,-23.47,0.4,19.09,97.0861100222135,Micro Cap,True
Kunststoff Inds.,23.89,9.63,16.46,91.3,4.28,17.11,12.488238369053844,Micro Cap,True
Kush Industries,7.06,0.0,10.77,400.0,0.0,-2.61,1.412,Micro Cap,False
Kuwer Industries,11.99,5.44,10.88,2100.0,118.68,8.84,0.545,Micro Cap,True
KVS Castings,62.0,16.49,116.27,-15.79,2.04,15.78,73.62546015912599,Micro Cap,True
Kwality Pharma,2439.3,37.24,2531.07,74.6,35.81,24.25,1397.0790378006875,Small Cap,True
Kwality Wall's,34.76,0.0,8167.18,0.0,0.0,0.0,34.76,Mid Cap,False
L G Balakrishnan,1587.4,15.98,5062.6,-6.89,21.79,19.82,1704.8652131887015,Mid Cap,True
L T Foods,385.55,21.41,13388.34,-15.48,30.44,17.74,456.16422148603885,Mid Cap,True
L. T. Elevator,262.5,29.56,503.03,497.22,139.72,40.9,43.953651920565285,Small Cap,True
L.K.Mehta Poly.,43.25,26.37,16.61,-5.71,17.37,7.98,45.86912716088663,Micro Cap,True
L&T Finance Ltd,299.0,24.95,74914.64,26.79,18.6,8.4,235.82301443331494,Large Cap,True
L&T Technology,3322.4,26.08,35240.23,23.41,8.34,26.71,2692.1643302811767,Large Cap,True
La Opala RG,180.18,21.35,2000.0,-37.06,-11.3,15.27,286.2726406101049,Small Cap,True
La Tim Metal & I,9.83,16.32,128.41,143.21,76.53,14.73,4.04177459808396,Micro Cap,True
Labelkraft Tech.,61.75,15.29,20.03,-5.06,39.11,13.16,65.0410785759427,Micro Cap,True
Lactose (India),104.0,21.61,130.93,193.75,64.82,11.29,35.40425531914894,Micro Cap,True
Ladam Affordab.,7.26,0.0,13.29,-2125.0,0.0,-0.38,-0.3585185185185185,Micro Cap,False
Ladderup Finance,50.5,14.67,53.54,334.43,204.96,9.01,11.62442741063002,Micro Cap,True
Laddu Gopal,0.41,13.82,5.53,-101.89,0.0,3.31,-21.69312169312179,Micro Cap,True
Laffans Petroch,30.05,58.63,24.04,-33.61,46.51,0.4,45.2628407892755,Micro Cap,True
Lagnam Spintex,80.13,9.84,141.58,-2.22,10.31,10.07,81.94927388013909,Micro Cap,True
Lahoti Overseas,44.27,8.99,129.14,-66.12,-28.45,7.95,130.66706021251477,Micro Cap,True
Lak. Electrical,814.1,166.89,200.27,-55.93,17.85,0.82,1847.2884048105288,Micro Cap,True
Lak. Fin. & Indl,145.3,0.0,43.59,-4.92,18.34,-2.1,152.8186790071519,Micro Cap,False
Lak. Prec. Screw,4.7,0.0,5.14,30.21,-16.37,0.28,3.6095537977113894,Micro Cap,False
Lake Shore,68.28,149.38,23.9,-127.27,0.0,1.13,-250.38503850385044,Micro Cap,True
Lakhotia Poly.,60.17,26.48,63.02,-96.73,-99.12,11.16,1840.0611620795135,Micro Cap,True
Lakshmi Engg.,2400.0,96.11,160.5,131.82,24.53,11.44,1035.2859977568803,Micro Cap,True
Lakshmi Mills,7422.8,0.0,516.63,392.42,-6.11,1.96,1507.4123715527394,Small Cap,False
Lakshya Powertec,112.0,11.14,112.94,-61.0,-2.32,13.48,287.1794871794872,Micro Cap,True
Lambodhara Text.,114.58,10.81,118.91,1322.73,5.26,12.31,8.053530887800216,Micro Cap,True
Lamosaic India,34.9,21.6,36.08,86.38,-1.36,4.56,18.725185105698035,Micro Cap,True
Lancer Containe.,11.74,73.66,414.73,133.6,17.97,1.95,5.0256849315068495,Micro Cap,True
Lancor Holdings,24.69,4.47,181.6,143333.33,-65.39,20.52,0.017213572326599407,Micro Cap,True
Landmarc Leisur.,1.8,0.0,176.4,-92.45,-100.0,-1.55,23.841059602649004,Micro Cap,False
Landmark Cars,432.85,45.97,1794.81,1089.82,17.16,9.26,36.379452354137605,Small Cap,True
Landmark Global,16.35,0.0,33.7,-220.15,-86.19,-8.35,-13.607990012484393,Micro Cap,False
Landmark Prop.,6.55,58.97,87.86,3300.0,0.0,4.86,0.1926470588235294,Micro Cap,True
Landsmill Green,0.86,129.06,121.32,115.18,-100.0,0.59,0.3996653964123059,Micro Cap,True
Larsen & Toubro,4216.4,35.35,580062.45,2.11,11.25,14.57,4129.272353344432,Large Cap,True
Lasa Supergeneri,7.6,0.0,38.08,-138.67,-100.33,-18.15,-19.65347814843549,Micro Cap,False
Last Mile Enter.,8.21,24.42,292.09,-45.86,-30.6,5.48,15.164388622090877,Micro Cap,True
Latent View,297.9,31.11,6164.3,-1.36,24.31,16.03,302.00729927007296,Mid Cap,True
Latteys Industri,21.72,34.5,124.88,181.63,59.21,16.32,7.712246564641551,Micro Cap,True
Laurus Labs,1450.0,87.59,78336.19,19.46,5.31,17.76,1213.7954126904403,Large Cap,True
Laxmi Cotspin,15.03,0.0,25.77,-164.13,-23.06,1.87,-23.436769062841105,Micro Cap,False
Laxmi Dental,224.76,36.94,1235.33,149.5,21.89,14.86,90.08416833667334,Small Cap,True
Laxmi Goldorna,221.97,270.54,1111.9,-1151.67,-3.9,10.08,-21.1064307244668,Small Cap,True
Laxmi India Fin.,101.74,10.71,533.05,40.84,25.0,12.72,72.23800056802044,Small Cap,True
Laxmi Organic,155.99,54.49,4324.22,-0.97,3.61,4.69,157.51792386145615,Small Cap,True
Laxmipati Engg,383.9,0.0,220.74,-30.42,64.34,21.84,551.7390054613395,Micro Cap,False
LCC Infotech,4.72,0.0,79.58,-1500.0,-100.0,-1.88,-0.33714285714285713,Micro Cap,False
Le Lavoir,158.25,24.5,54.88,81.48,193.75,16.15,87.19969142605245,Micro Cap,True
Le Merite Export,24.28,26.2,303.91,-65.96,-40.28,9.95,71.32784958871915,Micro Cap,True
Le Travenues,189.83,112.09,8317.91,91.15,8.41,6.8,99.30944284593251,Mid Cap,True
Lead Financial S,17.48,57.7,5.77,-400.0,-37.5,3.1,-5.826666666666667,Micro Cap,True
Lead Reclaim,92.0,19.44,79.49,219.59,-18.25,21.28,28.786883194092432,Micro Cap,True
Leading Lea. Fin,1.27,3.84,71.57,-367.17,418.22,6.63,-0.47535277164352285,Micro Cap,True
Leapfrog Engg.,24.25,21.13,343.85,0.0,0.0,46.17,24.25,Micro Cap,True
Lee & Nee Soft.,7.65,137.61,42.66,200.0,30.77,0.98,2.5500000000000003,Micro Cap,True
Leela Palaces Hotels,483.9,39.57,16160.22,46.17,14.06,8.72,331.05288362865156,Mid Cap,True
Lehar Footwears,254.7,21.61,450.28,-17.86,-16.62,18.05,310.0803506208911,Micro Cap,True
Lemon Tree Hotel,119.69,38.21,9482.4,9.57,10.01,13.95,109.23610477320435,Mid Cap,True
Lenskart Solut.,508.9,175.9,88483.49,-8.5,45.62,8.44,556.1748633879781,Large Cap,True
Leo Dryfruits,53.0,9.0,94.82,0.0,0.0,0.0,53.0,Micro Cap,True
Lerthai Finance,574.0,0.0,40.18,-31.58,0.0,-3.94,838.9359836305174,Micro Cap,False
Lesha Industries,0.81,164.64,23.05,-116.67,451.56,0.28,-4.859028194361126,Micro Cap,True
Lex Nimble Solu.,83.16,32.56,34.84,8.33,-11.63,8.42,76.76543893658267,Micro Cap,True
Lexoraa Ind,17.5,344.0,6.88,600.0,302.75,0.0,2.5,Micro Cap,True
Lexus Granito,14.15,28.29,29.42,-225.0,-44.97,6.89,-11.32,Micro Cap,True
LG Electronics,1571.3,63.29,106655.51,-8.19,8.12,32.23,1711.4693388519768,Large Cap,True
LGB Forge,4.76,0.0,113.38,-15.0,7.23,3.0,5.6,Micro Cap,False
LGT Business,44.35,9.06,41.57,-65.78,43.25,21.08,129.60257159555817,Micro Cap,True
Libas Consumer,11.64,12.62,30.67,-141.72,-45.31,3.97,-27.900287631831258,Micro Cap,True
Liberty Shoes,269.59,41.46,459.38,-10.69,13.0,7.91,301.8586944351136,Micro Cap,True
Libord Finance,16.37,40.16,25.7,78.57,22.22,3.94,9.167273338186707,Micro Cap,True
Libord Securitie,20.4,0.0,10.2,45.76,0.0,-1.37,13.995609220636663,Micro Cap,False
LIC Housing Fin.,549.85,5.4,30245.21,8.68,-1.25,8.59,505.93485461906516,Large Cap,True
Life Insurance,423.35,9.32,535537.56,23.26,13.82,35.14,343.46097679701444,Large Cap,True
Likhami Consult.,320.85,1388.04,319.25,9.52,3.03,0.89,292.9601899196494,Micro Cap,True
Likhitha Infra.,257.6,25.92,1016.23,-73.91,-10.93,13.69,987.3514756611729,Small Cap,True
Lime Chemicals,15.35,0.0,9.98,-50.0,39.02,-2.05,30.7,Micro Cap,False
Linc,115.46,18.76,686.86,-7.9,-9.55,19.21,125.36373507057544,Small Cap,True
Lincoln Pharma.,631.55,14.39,1264.98,0.43,11.36,16.27,628.845962361844,Small Cap,True
Linde India,7021.5,108.7,59879.35,-27.74,3.79,18.25,9716.994187655688,Large Cap,True
Link Pharma Chem,27.0,149.88,11.99,-17.14,2.17,3.48,32.58508327299059,Micro Cap,True
Liotech Ind.,231.95,21.75,90.47,0.0,0.0,49.14,231.95,Micro Cap,True
Lippi Systems,226.52,42.06,158.56,-225.0,0.0,20.8,-181.216,Micro Cap,True
LKP Finance,166.5,58.64,1278.86,130.19,1992.87,6.77,72.331552196012,Small Cap,True
LKP Securities,16.66,13.53,137.84,-15.99,24.34,13.53,19.830972503273422,Micro Cap,True
Lloyds Engineeri,84.91,65.34,12406.47,156.6,113.41,17.08,33.090413094310215,Mid Cap,True
Lloyds Enterpris,73.17,998.06,10997.78,318.23,47.07,3.67,17.495158166559072,Mid Cap,True
Lloyds Luxuries,72.55,0.0,175.1,107.53,36.43,-5.75,34.958801137184984,Micro Cap,False
Lloyds Metals,1721.4,30.37,96898.8,426.3,311.71,35.86,327.0758122743683,Large Cap,True
LMW,16146.0,123.02,17248.77,33.86,16.12,6.91,12061.855670103092,Mid Cap,True
Lodha Developers,947.45,27.61,94655.95,9.35,11.58,16.58,866.4380429812529,Large Cap,True
Logica Infoway,168.15,21.11,299.27,6.74,22.18,13.56,157.53232152894887,Micro Cap,True
Logiciel Soluti.,36.2,11.5,27.03,0.0,0.0,8.48,36.2,Micro Cap,True
Lokesh Mach.,272.45,150.32,580.23,1553.85,53.42,6.37,16.473682619342746,Small Cap,True
Longspur Intl,9.17,38.38,20.34,-238.1,-4.55,2.26,-6.640115858073861,Micro Cap,True
Looks Health,9.54,501.0,10.02,-94.74,-69.23,0.2,181.36882129277532,Micro Cap,True
Lords Chloro,133.16,13.39,381.55,68.85,22.39,13.65,78.86289606159313,Micro Cap,True
Lords Ishwar,15.24,0.0,11.38,-103.23,-11.39,3.73,-471.82662538699697,Micro Cap,False
Lorenzini Appar.,9.17,36.41,158.4,113.24,85.06,11.06,4.3003188895141635,Micro Cap,True
Lotus Chocolate,683.9,8781.3,878.13,-414.79,-19.48,9.71,-217.25594841005113,Small Cap,True
Lotus Eye Hospit,125.02,3250.0,260.0,-224.0,18.25,1.16,-100.82258064516127,Micro Cap,True
Lovable Lingerie,72.84,13.49,107.8,23.75,-21.89,0.57,58.86060606060606,Micro Cap,True
Loyal Equipments,167.6,26.87,180.84,-28.43,5.36,15.62,234.17633086488752,Micro Cap,True
Loyal Textile,213.31,0.0,102.82,72.05,-41.53,-4.1,123.98140075559431,Micro Cap,False
LTM,3762.6,20.65,111606.74,19.36,15.56,29.6,3152.3123324396784,Large Cap,True
Ludlow Jute,335.2,22.34,361.01,-45.24,56.29,10.3,612.1256391526662,Micro Cap,True
Lumax Auto Tech.,1548.9,36.7,10556.95,50.4,25.07,21.45,1029.8537234042553,Mid Cap,True
Lumax Industries,5291.5,26.56,4947.55,26.43,29.99,17.7,4185.319939887685,Small Cap,True
Lupin,2343.5,18.59,107152.44,101.49,31.89,30.32,1163.0850166261353,Large Cap,True
Lux Industries,1220.0,34.57,3668.75,-16.19,7.58,7.84,1455.6735473093904,Small Cap,True
Luxury Time,70.0,10.28,57.78,91.82,29.76,28.3,36.49254509435929,Micro Cap,True
LWS Knitwear,17.06,10.49,24.96,-15.04,-33.99,11.25,20.080037664783426,Micro Cap,True
Lyka Labs,69.85,0.0,252.53,-529.94,-16.15,-6.1,-16.246452993440943,Micro Cap,False
Lykis,44.51,13.29,86.24,382.61,136.65,11.54,9.222767866393154,Micro Cap,True
Lyons Corporate,21.8,34.0,10.2,260.0,18.18,5.85,6.055555555555555,Micro Cap,True
Lypsa Gems,4.83,8.23,14.24,102.29,-73.1,7.18,2.3876612783627467,Micro Cap,True
M & B Engineer.,303.5,18.55,1734.45,-5.33,15.96,22.96,320.5873032639696,Small Cap,True
M & M,3182.2,22.37,395715.74,48.85,29.07,15.45,2137.856902922405,Large Cap,True
M & M Fin. Serv.,328.55,15.46,45667.5,105.16,13.37,8.72,160.14330278806787,Large Cap,True
M B Agro Prod.,576.7,33.65,5053.45,319.37,32.99,19.4,137.5157975057825,Mid Cap,True
M E T S,138.35,10.23,76.23,169.05,49.04,23.47,51.42166883478907,Micro Cap,True
M K Exim India,66.71,13.45,269.29,77.59,-0.11,24.67,37.564052029956635,Micro Cap,True
M K Proteins,4.81,26.43,180.55,-59.29,6.37,10.13,11.815278801277326,Micro Cap,True
M Lakhamsi Ind,11.07,9.17,6.6,-9.68,29.85,7.9,12.25642161204606,Micro Cap,True
M M Forgings,461.05,19.65,2226.02,32.8,16.51,9.83,347.17620481927713,Small Cap,True
M M Rubber,60.5,0.0,37.7,146.67,5.83,-3.11,24.526695585194794,Micro Cap,False
M P Agro Inds.,9.53,79.0,5.53,300.0,0.0,1.34,2.3825,Micro Cap,True
M P K Steels,120.8,20.3,122.99,55.48,68.29,18.96,77.69488037046565,Micro Cap,True
M R Maniveni,36.48,18.5,71.4,0.0,0.0,17.35,36.48,Micro Cap,True
M R P L,153.93,14.02,26977.75,-68.43,-2.63,17.69,487.58314855875835,Large Cap,True
M T N L,30.15,0.0,1899.45,62.92,34.53,-2.25,18.506015222194943,Small Cap,False
M Tek Copper,57.24,34.6,155.37,69.19,102.07,12.62,33.83178674862581,Micro Cap,True
M.V.K. Agro,389.15,42.15,1965.36,534.85,96.13,14.37,61.29794439631408,Small Cap,True
Maan Aluminium,125.59,57.82,753.35,-56.85,3.54,7.73,291.05446118192356,Small Cap,True
Mac Charles(I),700.7,0.0,917.92,57.98,1567.71,5.41,443.53715660210156,Small Cap,False
Mac Hotels,90.0,173.36,57.21,-533.33,-0.4,4.65,-20.769390533773336,Micro Cap,True
Macfos,1064.65,42.99,1102.82,101.43,63.4,33.76,528.5458968376112,Small Cap,True
Mach Travel Solutions,140.35,17.8,295.26,57.37,4.87,18.24,89.18472389909131,Micro Cap,True
Machhar Industri,311.8,39.15,23.1,100.0,10.47,8.43,155.9,Micro Cap,True
Machino Plastics,270.75,125.94,166.24,-92.86,33.83,6.72,3792.016806722688,Micro Cap,True
Macobs Technolo.,227.5,76.84,222.84,92.21,214.59,0.11,118.3601269444878,Micro Cap,True
Macpower CNC,1154.3,34.09,1154.78,10.93,25.35,29.11,1040.5661227801315,Small Cap,True
Madala Holdings,195.0,106.23,287.89,-441.71,10.8,4.37,-57.065933101167666,Micro Cap,True
Madhav Infra,8.59,8.45,231.57,-4.85,-17.6,15.63,9.027850761954808,Micro Cap,True
Madhav Marbles,36.5,83.77,32.67,7350.0,20.47,1.71,0.4899328859060403,Micro Cap,True
Madhucon Project,6.1,0.0,45.01,-155.52,-9.39,-34.01,-10.987031700288181,Micro Cap,False
Madhusudan Inds.,43.09,0.0,23.18,54.09,6.25,-2.03,27.96417677980401,Micro Cap,False
Madhusudan Masa,213.3,20.12,325.07,26.63,36.91,16.25,168.44349680170578,Micro Cap,True
Madhusudan Sec.,17.7,13.49,37.91,-184.62,5250.0,3.51,-20.917040888678798,Micro Cap,True
Madhya Prad. Tod,46.0,7.07,21.01,-21.03,-7.84,9.15,58.249968342408515,Micro Cap,True
Madras Fertilize,68.77,12.73,1107.89,153.3,26.09,14.82,27.149624950651397,Small Cap,True
Mafatlal Inds.,143.54,11.18,1036.06,-22.59,96.47,12.91,185.4282392455755,Small Cap,True
Magadh Sugar,455.05,10.0,641.24,-32.89,-18.17,7.81,678.0658620175831,Small Cap,True
Magellanic Cloud,27.13,13.84,1598.14,32.06,31.47,19.79,20.54369226109344,Small Cap,True
Magenta Life,9.4,53.83,6.46,160.0,107.14,3.6,3.6153846153846154,Micro Cap,True
Magna Electrocas,1078.35,24.71,456.37,-44.81,4.61,17.43,1953.8865736546472,Micro Cap,True
Magnum Ventures,19.56,0.0,133.81,-15.42,8.26,2.55,23.12603452352802,Micro Cap,False
Magnus Steel,83.6,97.12,438.02,590.91,385.71,170.7,12.099984078968317,Micro Cap,True
Magson Retail,175.0,275.24,233.95,100.0,100.4,3.31,87.5,Micro Cap,True
Mah. Corporation,0.34,0.0,21.11,97.3,0.0,-0.58,0.17232640648758238,Micro Cap,False
Mah. Scooters,12506.0,46.02,14292.57,-0.25,-9.32,1.06,12537.343358395989,Mid Cap,True
Mah. Seamless,628.4,11.97,8420.04,-56.91,-9.71,14.29,1458.343003016941,Mid Cap,True
Maha Rashtra Apx,47.04,0.0,132.58,-135.99,-80.0,-1.47,-130.70297304806886,Micro Cap,False
Mahalaxmi Fab.,22.73,4.6,24.14,170.45,45.79,6.64,8.404511000184877,Micro Cap,True
Mahalaxmi Rubtec,131.91,6.43,140.09,17.79,29.2,32.4,111.98743526615162,Micro Cap,True
Mahamaya Lifesc.,167.4,23.72,391.8,0.0,0.0,20.0,167.4,Micro Cap,True
Mahamaya Steel,791.45,142.93,1300.7,-24.77,11.41,8.4,1052.0404094111393,Small Cap,True
Mahanagar Gas,1174.6,13.7,11602.44,-45.56,4.52,18.28,2157.6047024246877,Mid Cap,True
Mahaveer Infoway,15.79,13.59,8.7,291.67,104.0,17.43,4.03145505144637,Micro Cap,True
Mahendra Realtor,71.35,8.89,157.71,65.61,20.09,20.93,43.0831471529497,Micro Cap,True
Maheshwari Logi.,74.08,13.02,219.26,-39.46,13.47,12.17,122.36537826230592,Micro Cap,True
Mahickra Chem.,248.0,46.98,242.44,257.14,32.1,12.71,69.4405555244442,Micro Cap,True
Mahindra EPC,121.12,23.87,338.54,-23.36,11.59,10.33,158.0375782881002,Micro Cap,True
Mahindra Holiday,240.06,64.8,4850.56,-43.13,5.32,7.75,422.12062598909796,Small Cap,True
Mahindra Life.,361.25,28.19,7707.01,5.91,7146.97,7.64,341.09149277688607,Mid Cap,True
Mahindra Logis.,368.0,1409.18,3651.39,399.11,14.14,7.36,73.73124161006591,Small Cap,True
Mahip Industries,22.12,28.95,42.56,92.11,-67.99,0.0,11.51423663526105,Micro Cap,True
Maiden Forgings,78.0,22.08,110.85,46.5,17.67,9.26,53.24232081911263,Micro Cap,True
Maithan Alloys,1012.8,6.8,2948.42,-15.44,28.48,14.83,1197.7294228949856,Small Cap,True
Maitreya Medica.,137.85,0.0,93.41,-1720.0,-5.16,-2.18,-8.50925925925926,Micro Cap,False
Maitri Enterp.,44.34,32.52,19.51,2450.0,136.56,15.04,1.7388235294117649,Micro Cap,True
Majestic Auto,340.9,15.33,354.54,66.06,-76.66,5.41,205.28724557388892,Micro Cap,True
Makers Labs.,147.3,36.98,86.91,2825.0,5.46,9.48,5.035897435897437,Micro Cap,True
Maks Energy,23.05,20.49,15.98,26.32,-13.75,9.34,18.247308423052566,Micro Cap,True
Mallcom (India),1006.8,20.91,628.24,-29.61,6.63,11.44,1430.3168063645405,Small Cap,True
Malpani Pipes,65.62,7.83,70.72,4.89,12.3,20.34,62.56077795786062,Micro Cap,True
Malu Paper,30.95,0.0,52.8,4.61,13.98,-8.86,29.58608163655482,Micro Cap,False
Mamata Machinery,409.6,57.93,1007.94,-92.48,-33.58,12.74,5446.808510638303,Small Cap,True
Man Industries,569.15,25.04,4269.17,-25.39,-5.02,16.21,762.8334003484788,Small Cap,True
Man Infra,104.38,21.01,4213.47,-44.33,-50.47,13.87,187.49775462547154,Small Cap,True
Manaksia,58.41,7.31,382.78,-9.03,-11.87,10.63,64.20798065296252,Micro Cap,True
Manaksia Alumi.,37.71,32.69,247.13,62.0,13.56,10.15,23.277777777777775,Micro Cap,True
Manaksia Coated,104.63,27.21,1107.34,6.76,9.41,19.86,98.00487073810415,Small Cap,True
Manaksia Steels,73.87,12.68,484.1,332.1,63.09,13.42,17.09557972691507,Micro Cap,True
Manali Petrochem,63.53,15.4,1092.71,11.78,27.04,7.24,56.83485417784935,Small Cap,True
Manappuram Fin.,318.5,29.82,29917.85,311.3,10.71,8.26,77.43739362995382,Large Cap,True
Manas Polymers,47.45,4.33,36.9,80.53,106.15,30.17,26.283720157314576,Micro Cap,True
Manav Infra,36.55,11.94,48.1,19.93,77.12,33.22,30.47611106478779,Micro Cap,True
Manba Finance,132.4,14.66,665.17,38.78,37.3,12.49,95.40279579190086,Small Cap,True
Manbro Indust.,55.93,108.51,324.45,0.0,0.0,0.0,55.93,Micro Cap,True
Mandeep Auto,19.2,19.1,21.96,-70.4,23.33,4.35,64.86486486486488,Micro Cap,True
Mangal Compuso.,45.6,10.25,62.04,85.48,22.12,16.91,24.5848609014449,Micro Cap,True
Mangal Credit,232.73,32.1,491.39,92.96,59.31,12.48,120.61048922056385,Micro Cap,True
Mangal Electrica,306.3,19.6,846.31,-8.47,17.24,14.73,334.6443788921665,Small Cap,True
Mangalam Alloys,34.0,5.72,83.93,-76.55,-6.31,13.06,144.98933901918974,Micro Cap,True
Mangalam Cement,921.8,17.36,2534.7,371.61,-2.49,10.76,195.45811157524224,Small Cap,True
Mangalam Drugs,28.79,0.0,45.57,-8806.67,-7.54,-14.01,-0.3306660296071862,Micro Cap,False
Mangalam Global,16.1,14.57,530.58,160.54,98.23,16.83,6.179473401397099,Small Cap,True
Mangalam Industr,0.61,0.0,86.93,-1860.0,90.22,-1.93,-0.0346590909090909,Micro Cap,False
Mangalam Organic,552.2,16.61,472.93,16.34,2.56,10.46,474.6432869176552,Micro Cap,True
MANGALAM SEEDS,119.4,16.01,131.1,-63.02,-26.56,10.02,322.8772309356409,Micro Cap,True
Mangalam World.,371.05,22.0,1102.04,131.83,-18.24,17.63,160.0526247681491,Small Cap,True
Manglam Global,15.46,42.94,15.46,34.78,177.32,7.64,11.470544591185638,Micro Cap,True
Manglam Infra,13.5,7.57,23.76,1700.0,-21.42,9.52,0.75,Micro Cap,True
Manilam Industries,55.4,58.76,121.04,0.0,0.0,8.48,55.4,Micro Cap,True
Manipal Fin. Cor,22.4,0.0,18.77,0.0,0.0,0.0,22.4,Micro Cap,False
Mankind Pharma,2462.3,50.62,101692.0,34.23,11.81,13.5,1834.3887357520673,Large Cap,True
Manoj Ceramic,105.55,12.29,145.73,-5.38,22.14,12.94,111.55146903403086,Micro Cap,True
Manoj Jewellers,37.32,3.72,33.53,34.8,29.22,30.19,27.685459940652823,Micro Cap,True
Manoj Vaibhav,143.8,6.05,702.43,5.31,7.0,15.63,136.5492355901624,Small Cap,True
Manomay Tex Indi,185.19,17.02,334.24,50.15,13.86,11.41,123.33666333666334,Micro Cap,True
Manor Estates,9.29,0.0,7.65,5.56,0.0,0.0,8.800682076544144,Micro Cap,False
Manorama Indust.,1573.5,40.28,9395.14,40.81,64.21,35.45,1117.4632483488388,Mid Cap,True
Mansi Fin.(Chen),57.75,6.24,20.39,-206.38,-64.32,10.7,-54.28652002256063,Micro Cap,True
Mantra Capital,16.12,0.0,57.68,-20.75,219.43,-9.31,20.34069400630915,Micro Cap,False
Manugraph India,15.21,11.2,46.26,-131.91,-10.17,10.62,-47.66530868066438,Micro Cap,True
Maple Inf. Trust,142.47,0.0,9807.03,-60.44,201.48,5.36,360.13650151668344,Mid Cap,False
Mapro Industries,31.31,84.74,26.27,-5.88,316.67,1.56,33.26604334891628,Micro Cap,True
Maral Overseas,54.87,59.01,227.77,5886.96,-6.0,7.5,0.9164918422705346,Micro Cap,True
Marathon Nextgen,405.1,13.35,2731.21,-16.14,-23.58,12.5,483.0670164559981,Small Cap,True
Marble City,132.49,47.41,338.05,-63.6,35.73,13.77,363.9835164835165,Micro Cap,True
Marc Loire,41.9,16.81,29.75,-75.62,-25.88,11.38,171.86218211648898,Micro Cap,True
Marc Technocrats,87.8,14.39,152.01,0.0,0.0,29.41,87.8,Micro Cap,True
Marco Cables,31.0,13.8,57.97,-51.82,-22.15,14.92,64.3420506434205,Micro Cap,True
Mardia Samyoung,48.63,173.28,386.42,2400.0,0.0,7.02,1.9452,Micro Cap,True
Marg Techno-Proj,15.11,119.2,118.01,326.32,199.44,8.8,3.5442859823606683,Micro Cap,True
Margo Finance,65.97,28.18,30.15,438.1,872.73,1.28,12.259803010592826,Micro Cap,True
Marico,825.8,60.85,107219.84,13.99,22.09,47.21,724.4495131151856,Large Cap,True
Marine Electric.,268.75,63.44,3761.01,45.55,10.66,18.22,184.6444520783236,Small Cap,True
Marinetrans Indi,13.5,28.63,17.18,11.54,-10.79,5.32,12.103281334050566,Micro Cap,True
Maris Spinners,27.64,0.0,22.59,-74.81,2.18,7.58,109.72608177848352,Micro Cap,False
Market Creators,15.0,0.0,15.75,-176.19,-25.53,5.58,-19.687623047644045,Micro Cap,False
Markolines Pavem,173.59,14.63,385.43,-7.57,-19.06,15.7,187.80698907281186,Micro Cap,True
Marksans Pharma,256.07,27.77,11604.16,63.59,20.84,18.84,156.53157283452535,Mid Cap,True
Marsons,112.44,41.79,1935.09,149.89,65.34,25.39,44.99579815118652,Small Cap,True
Martin Burn,44.8,12.14,23.07,-95.78,-100.0,4.33,1061.6113744075824,Micro Cap,True
Marushika Tech.,88.0,8.32,75.12,0.0,0.0,33.99,88.0,Micro Cap,True
Maruti Global Industries,38.7,26.88,19.35,147.71,0.0,69.57,15.6231076662226,Micro Cap,True
Maruti Infra.,12.25,96.5,114.84,-76.67,-36.56,6.88,52.507501071581665,Micro Cap,True
Maruti Interior,64.31,37.24,388.43,133.86,-21.46,21.17,27.499358590609763,Micro Cap,True
Maruti Suzuki,13745.0,29.44,432146.34,-6.45,28.21,19.02,14692.677712453233,Large Cap,True
Marvel Decor,75.65,30.36,134.2,43.21,-2.14,7.86,52.824523427134984,Micro Cap,True
MAS FINANC SER,311.95,15.11,5660.44,25.04,23.54,11.26,249.48016634676904,Mid Cap,True
MASK INVESTMENTS,152.4,775.0,46.5,0.0,800.0,0.1,152.4,Micro Cap,True
Mason Infratech,126.0,13.79,301.64,13.65,5.68,17.27,110.86669599648042,Micro Cap,True
Mastek,1575.2,11.5,4882.7,40.53,3.6,18.02,1120.8994520742901,Small Cap,True
Master Component,346.05,18.6,138.42,72.84,52.45,26.62,200.2140708169405,Micro Cap,True
Master Trust,76.21,7.44,937.5,46.88,48.07,23.85,51.88589324618736,Small Cap,True
Matrimony.com,401.6,24.3,830.24,18.7,7.86,17.41,338.3319292333614,Small Cap,True
